Date_UBO_Test,Test_No,Hive_No,Hive_Size,Breeder_Line,Queen,Queen_Birth,Chalk_Date,Total_Brood,Brood_with_Chalk,White_Chalk,Spore_Dark_Chalk,Empty_Cells,Total_Cells,Cleared_Cells,Percentage_UBO,Over_40_percent,Pin_test_Results,Comments
06.12.22,1,870L,4FDNuc,JH,2570JH,17.9.22,28.1.23,4,0,0,0,7,50,7,0,FALSE,97.73,No food
06.12.22,2,87oR,4FDNuc,IMP,26734IMP,17.9.22,28.1.23,4,0,0,0,9,50,9,0,FALSE,,No Food
06.12.22,3,86Y,4FDx2Nuc,IMP,22734IMP,16.9.22,28.1.23,5,3,33,0,7,53,14,15.22,FALSE,,
06.12.22,4,11oL,4FDNuc,IMP,285IMP,20.2.22,27.1.23,3,1,1,0,13,49,13,0,FALSE,97.44,Poor brood pattern
06.12.22,5,11oR,4FDNuc,IMP,265IMP,20.2.22,27.1.23,3,1,3,0,4,51,6,4.26,FALSE,71.43,Good honey stores
06.12.22,7,96R,4FDNuc,IMP,96NM,1.10.21,25.1.23,4,0,0,0,14,50,18,11.11,FALSE,97.83,
06.12.22,8,96L,4FDNuc,IMP,463IMP,3.2.22,25.1.23,3,1,8,0,3,50,3,0,FALSE,97.92,
06.12.22,9,90L,4FDNuc,IMP,104IMP,27.8.22,24.1.23,3,0,0,0,5,48,5,0,FALSE,94.44,1 honey good stores 
06.12.22,10,90R,4FDNuc,IMP,154IMP,27.8.22,24.1.23,3,0,0,0,3,48,4,2.22,FALSE,98.04,1 honey good stores 
12.12.22,11,4,"10FDx2,10FMx1",IMP,4IMP,27.9.21,28.1.23,8,0,0,0,8,50,8,0,FALSE,,
12.12.22,12,3,10FDx1&10FMx2,IMP,3IMP,27.9.21,25.1.23,12,4,6,0,6,55,27,42.86,HYGENIC,,
12.12.22,13,75Y,10FDX2/10Dx1,IMP,74IMP,6.8.22,24.1.23,11,0,0,0,1,52,1,0,FALSE,,4 Honey /Drone well laid up (Black & Brown Drones)
12.12.22,16,97Y,10FDx1,L5 ,99L5,28.2.22,28.1.23,5,0,0,0,6,50,6,0,FALSE,,
12.12.22,17,138Y,6FD,WA,80 S8390d,6.12.22,28.1.23,5,0,0,0,8,50,9,2.38,FALSE,,
12.12.22,18,41Y,10FDx1Mx1,L5 ,25L5,25.10.21,28.1.23,7,0,0,0,7,50,7,0,FALSE,,
12.12.22,20,Black,8FDx1,JC,Black,1.10.22,27.1.23,6,2,9,1,7,53,8,2.17,FALSE,27.66,
12.12.22,21,370JH,8FDx1,JH,370JH,16.8.21,28.1.23,5,0,0,0,9,50,9,0,FALSE,,No honey stores
12.12.22,22,68G,10FDx1Mx1,L5,81L5,25.11.21,28.1.23,8,2,2,0,6,52,7,2.17,FALSE,,
12.12.22,23,191Y,5FDNuc,JH,4832JH,12.10.22,27.1.23,3,1,16,0,6,52,11,10.87,FALSE,,Very pretty bees 
12.12.22,24,79O,8FDx2,L5,30L574,11.10.21,28.1.23,7,0,0,0,7,52,7,0,FALSE,,
12.12.22,25,79Y,4FDx2Nuc,W,32 3698W,16.9.22,17.2.23,4,2,78,3,17,54,21,10.81,FALSE,,
16.1.23,27,74Y,10FDx2/10FMx1,L5,L568,13.3.21,24.1.23,6,1,5,0,5,50,10,11.11,FALSE,,4 wsp honey 
16.1.23,30,105YL,4FDNuc,L5,1 81L5,05.08.22,24.1.23,3,1,3,0,4,50,27,50,HYGENIC,,WSP Frame
16.1.23,31,105YR,4FDNuc,IMP,3969R,27.9.22,24.1.23,3,2,5,0,5,50,6,2.22,FALSE,,WSP Frame
17.1.23,32,193Y,4FDNuc,L2,6540L2,6.11.22,27.1.23,4,0,0,0,2,55,2,0,FALSE,,
17.1.23,33,192Y,4FDNuc,W,73 671W,6.11.22,27.1.23,4,0,0,0,0,50,19,38,FALSE,,
17.1.23,34,92G,8FDx2/8FMx1,L5,81L5 Cord,29.10.22,24.1.23,7,3,38,0,6,50,12,13.64,FALSE,,4 wsp honey Brood on east wall 
17.1.23,35,173Y,10FDx2,L5,30L510d,05.09.22,24.1.23,12,0,0,0,4,49,12,17.78,FALSE,,1 honey  need feeding 
17.1.23,36,51,"8FDx1,8FMx2",L5,81L5,4.9.22,17.2.23,11,0,0,0,3,54,7,7.84,FALSE,,
17.1.23,37,36O,10FDx1,L5,281L5,4.9.22,17.2.23,6,2,5,0,2,50,3,2.08,FALSE,,
18.1.23,39,174Y,10FDX2/10Dx1,JH,94ZGI,14.2.21,28.1.23,8,1,3,0,3,50,5,4.26,FALSE,,
18.1.23,40,86G,10FDx2/10FMx1,JH,36JH,11.3.21,24.1.23,9,0,0,0,7,50,7,0,FALSE,,8F wsp honey
18.1.23,41,71Y,8FDx3,L5,74L5,5.2.22,28.1.23,8,3,4,0,9,48,13,10.26,FALSE,,
18.1.23,42,15Y,10FDx110FMx1,W,3798W,16.9.20,24.1.23,4,1,2,0,5,47,7,4.76,FALSE,,2 wSP honey watch stores & AFB
18.1.23,43,72Y,8FDx2/8FMx2,JBM,JBMCord,5.2.22,28.1.23,11,1,1,0,5,48,7,4.65,FALSE,86.05,Big population has drones
18.1.23,44,100y,10FDx2/10FMx1,W,8099Wd,29.9.22,24.1.23,11,5,25,1,6,48,8,4.76,FALSE,,3WSP Honey requeen 25.1.23 bad tempered queen
18.1.23,45,73Y,8FDx2/8FMx1,L5,27L5Q,6.12.22,28.1.23,4,0,0,0,9,48,21,30.77,FALSE,,No drones  Drone comb empty 
18.1.23,46,200Y,10FD10M/10M,IMP,7impd,8.2.22,24.1.23,7,0,0,0,1,50,1,0,FALSE,,4 Honey good brood needs pin test
18.1.23,47,1G,10FDx2/10FMx1,KI,LIG,25.11.22,25.1.23,7,4,12,6,4,51,9,10.64,FALSE,,
18.1.23,48,78Y,10FDx2/10FMx1,L2,69L2,17.11.22,24.1.23,11,0,0,0,8,48,17,22.5,FALSE,,2FD 2wsp honey
18.1.23,49,12G,10FDx2,KI,LIG,25.11.22,25.1.23,5,2,20,4,2,49,5,6.38,FALSE,,
18.1.23,50,77Y,10FDx2/10FMx1,JH,69JHgd,5.9.22,24.1.23,6,4,16,0,5,53,6,2.08,FALSE,,Only 2 wsp honey
18.1.23,51,76Y,10FDx2/10FMx1,JH,70JH,12.2.22,23.1.23,12,0,0,0,8,50,8,0,FALSE,,
18.1.23,52,52Y,10FDx2/10FMx1,L5,30L510 Cord,5.2.22,25.1.23,9,0,0,0,4,50,4,0,FALSE,,
18.1.23,53,50Y,10FDx2/10FMx1,L5 ,74L5cord,5.2.22,25.1.23,10,0,0,0,1,50,1,0,FALSE,,
23.1.23,58,66Y,4FDNuc,WA,69S8390,17.10.22,23.1.23,3,3,50,2,18,53,22,11.43,FALSE,,Requeened with resistant queen
23.1.23,59,112Y,10FDx2,W,671Womd,28.11.22,24.1.23,3,3,163,41,14,52,14,0,FALSE,,Added 2 brood and requeen 25.1.23
25.1.23,60,60Y,10FDX2/10Dx1,L5 ,LI5Cordd,29.11.22,25.1.23,6,0,0,0,1,50,4,6.12,FALSE,,
25.1.23,61,87Y,10FDx110Mx1/10FM,JH,64JH,5.2.22,25.1.23,10,3,4,0,6,49,6,0,FALSE,,
25.1.23,62,57Y,10FDx110Mx1/10FM,L5 ,30L510d,5.2.22,25.1.23,8,0,0,0,8,50,8,0,FALSE,,
25.1.23,63,37O,10FDx2/10FMx1,L5 ,25L5,20.2.22,25.1.23,9,0,0,0,2,51,3,2.04,FALSE,,
25.1.23,64,32O,10FDx2/10FMx1,W,98W,20.2.22,25.1.23,7,3,6,0,2,47,2,0,FALSE,,
25.1.23,65,YELLOW,5FDNuc,JH,9870JH,27.11.22,25.1.23,3,2,9,1,2,50,2,0,FALSE,,
1.2.23,66,5G,10FDx2/10FMx1,W,21W,10.3.21,1.2.23,8,0,0,0,1,52,2,1.96,FALSE,,
1.2.23,67,8G,10FDx2,L5,25L5cord,21.2.22,1.2.23,7,1,1,0,2,50,2,0,FALSE,,
1.2.23,68,16G,10FDx2,L5,L568Cord,27.2.21,1.2.23,7,1,1,0,7,51,8,2.27,FALSE,,
1.2.23,69,80Y,8FDx3,W,90Wd,22.1.21,1.2.23,10,0,0,0,8,48,8,0,FALSE,,
1.2.23,70,36Y,10FDx1&10FMx1/10FD,JH,23JH,10.4.22,1.2.23,11,8,50,12,5,48,6,2.33,FALSE,,Requeened 5.2.23
1.2.23,73,14L,4FDNuc,JBM,75JBM,1.11.22,1.2.23,3,0,0,0,7,48,14,17.07,FALSE,,
13.2.23,74,28Y,10Fx1,L2,3040L2,11.12.22,13.2.23,7,5,9,1,1,50,1,0,FALSE,,
13.2.23,76,7,8FDx3,L5,1879L5d,,15.2.23,10,0,0,0,5,50,5,0,FALSE,,
13.2.23,77,130Y,"10F1/2,M",L5,26L5,15.12.21,15.2.23,12,4,13,0,7,50,7,0,FALSE,,Need feed & Brood in wsp & 1/2s
13.2.23,78,22,10FDx2,L5,68L5d,1.21,15.2.23,10,0,0,0,5,48,6,2.33,FALSE,,
13.2.23,79,56Y,8FDx2/8FMx2,JBM,JBMCord,20.2.22,15.2.23,7,0,0,0,2,50,2,0,FALSE,,
13.2.23,80,9G,10Fx1/10FD,JH,7769JHd,25.9.2,15.2.23,7,0,0,0,5,50,15,22.22,FALSE,,
13.2.23,81,3L,4FDNuc,JH,72570JH,13.12.22,15.2.23,3,2,5,0,14,50,18,11.11,FALSE,,1 honey good stores 
13.2.23,82,14R,4FDNuc,JBM,74JBM,1.11.22,15.2.23,3,0,0,0,13,52,13,0,FALSE,,
14.2.23,83,132Y,10FDx2,W,671W,15.8.21,17.2.23,8,0,0,0,7,50,7,0,FALSE,,
14.2.23,84,121Y,10FDx2/10FMx1,JH,59JH,12.9.21,17.2.23,6,0,0,0,3,50,10,14.89,FALSE,,
18.2.23,85,2YL,4FDNuc,L5 ,9974L5,14.11.22,18.2.23,4,0,0,0,6,52,6,0,FALSE,,
18.2.23,86,2YR,4FDNuc,L5,10074L5,14.11.22,18.2.23,4,1,2,0,15,52,20,13.51,FALSE,,